Time[s], SCIO
0.763671375, 1
0.7639354375, 0
0.7666025, 1
0.7668685, 0
0.767139, 1
0.767405, 0
0.7686981875, 1
0.7689641875, 0
0.769234625, 1
0.7695006875, 0
0.770794125, 1
0.771060125, 0
0.772344625, 1
0.772610625, 0
0.7728900625, 1
0.7731560625, 0
0.7734265625, 1
0.7736925625, 0
0.7749859375, 1
0.7752519375, 0
0.7765364375, 1
0.7768024375, 0
0.777081875, 1
0.777347875, 0
0.777618375, 1
0.777884375, 0
0.7791778125, 1
0.7794438125, 0
0.7807283125, 1
0.780994375, 0
0.78127375, 1
0.78153975, 0
0.78282425, 1
0.7830903125, 0
0.7833815625, 1
0.783647625, 0
0.7839180625, 1
0.784184125, 0
0.7854775625, 1
0.7857435625, 0
0.7860140625, 1
0.7862800625, 0
0.7875735, 1
0.7878395, 0
0.78811, 1
0.788376, 0
0.7896694375, 1
0.7899354375, 0
0.79122, 1
0.7914860625, 0
0.7917654375, 1
0.7920315, 0
0.793316, 1
0.793582, 0
0.7938614375, 1
0.7941274375, 0
0.7954119375, 1
0.795678, 0
0.795957375, 1
0.796223375, 0
0.7975079375, 1
0.7977739375, 0
0.798053375, 1
0.798319375, 0
0.798589875, 1
0.798855875, 0
0.8001611875, 1
0.80042725, 0
0.80069775, 1
0.80096375, 0
0.8022571875, 1
0.80252325, 0
0.80279375, 1
0.80305975, 0
0.8043531875, 1
0.8046191875, 0
0.80590375, 1
0.80616975, 0
0.8064491875, 1
0.8067151875, 0
0.8079996875, 1
0.80826575, 0
0.808545125, 1
0.8088111875, 0
0.8100956875, 1
0.81036175, 0
0.810641125, 1
0.8109071875, 0
0.8121916875, 1
0.81245775, 0
0.812737125, 1
0.8130031875, 0
0.813273625, 1
0.8135396875, 0
0.814833125, 1
0.815099125, 0
0.815369625, 1
0.8156356875, 0
0.8169409375, 1
0.817207, 0
0.8184915, 1
0.8187575625, 0
0.8190369375, 1
0.819303, 0
0.8195734375, 1
0.8198395, 0
0.821132875, 1
0.8213989375, 0
0.821669375, 1
0.8219354375, 0
0.823228875, 1
0.823494875, 0
0.823765375, 1
0.8240314375, 0
0.8253248125, 1
0.8255908125, 0
0.8258613125, 1
0.826127375, 0
0.82742075, 1
0.82768675, 0
0.82795725, 1
0.8282233125, 0
0.8295166875, 1
0.8297826875, 0
0.8300531875, 1
0.8303191875, 0
0.8316125625, 1
0.831878625, 0
0.8321490625, 1
0.832415125, 0
0.8337015625, 1
0.833964625, 0
0.8441863125, 1
0.8444504375, 0
0.8471174375, 1
0.8473835, 0
0.8476539375, 1
0.84792, 0
0.849213375, 1
0.8494794375, 0
0.849749875, 1
0.8500159375, 0
0.851309375, 1
0.851575375, 0
0.852859875, 1
0.8531259375, 0
0.8534053125, 1
0.8536713125, 0
0.8539418125, 1
0.854207875, 0
0.85550125, 1
0.85576725, 0
0.85705175, 1
0.8573178125, 0
0.8575971875, 1
0.8578631875, 0
0.8581336875, 1
0.8583996875, 0
0.859693125, 1
0.859959125, 0
0.861243625, 1
0.8615096875, 0
0.8617890625, 1
0.862055125, 0
0.863339625, 1
0.863605625, 0
0.8638969375, 1
0.8641629375, 0
0.8644334375, 1
0.8646995, 0
0.865992875, 1
0.8662589375, 0
0.8665294375, 1
0.8667954375, 0
0.868088875, 1
0.868354875, 0
0.868625375, 1
0.8688914375, 0
0.8701848125, 1
0.870450875, 0
0.8717353125, 1
0.872001375, 0
0.87228075, 1
0.8725468125, 0
0.87383125, 1
0.8740973125, 0
0.8743766875, 1
0.87464275, 0
0.87592725, 1
0.87619325, 0
0.8764726875, 1
0.8767386875, 0
0.8780231875, 1
0.87828925, 0
0.878568625, 1
0.8788346875, 0
0.879105125, 1
0.8793711875, 0
0.8806765, 1
0.8809425625, 0
0.8812130625, 1
0.881479125, 0
0.8827725, 1
0.8830385625, 0
0.8833090625, 1
