Time[s], SCIO
0.555504375, 1
0.5557685625, 0
0.558435625, 1
0.5587016875, 0
0.5589721875, 1
0.5592381875, 0
0.560531375, 1
0.5607974375, 0
0.5610679375, 1
0.561334, 0
0.5626274375, 1
0.5628934375, 0
0.5641779375, 1
0.564444, 0
0.564723375, 1
0.5649894375, 0
0.5652599375, 1
0.5655259375, 0
0.566819375, 1
0.567085375, 0
0.568369875, 1
0.568635875, 0
0.56891525, 1
0.5691813125, 0
0.56945175, 1
0.5697178125, 0
0.5710111875, 1
0.5712771875, 0
0.5725616875, 1
0.5728276875, 0
0.5731070625, 1
0.5733730625, 0
0.5746575625, 1
0.5749235625, 0
0.575214875, 1
0.575480875, 0
0.5757513125, 1
0.576017375, 0
0.57731075, 1
0.5775768125, 0
0.57784725, 1
0.5781133125, 0
0.57940675, 1
0.57967275, 0
0.57994325, 1
0.58020925, 0
0.581502625, 1
0.5817686875, 0
0.5830531875, 1
0.5833191875, 0
0.583598625, 1
0.583864625, 0
0.585149125, 1
0.585415125, 0
0.5856945625, 1
0.5859605625, 0
0.5872450625, 1
0.5875110625, 0
0.5877905, 1
0.5880565, 0
0.589341, 1
0.5896070625, 0
0.5898864375, 1
0.5901525, 0
0.5904229375, 1
0.590689, 0
0.59199425, 1
0.5922603125, 0
0.59253075, 1
0.5927968125, 0
0.59409025, 1
0.59435625, 0
0.59462675, 1
0.59489275, 0
0.596186125, 1
0.5964521875, 0
0.597736625, 1
0.598002625, 0
0.5982820625, 1
0.5985480625, 0
0.5998325625, 1
0.6000985625, 0
0.6003779375, 1
0.6006439375, 0
0.601928375, 1
0.602194375, 0
0.6024738125, 1
0.6027398125, 0
0.60402425, 1
0.60429025, 0
0.6045696875, 1
0.6048356875, 0
0.605106125, 1
0.605372125, 0
0.6066655625, 1
0.6069315625, 0
0.607202, 1
0.607468, 0
0.6087733125, 1
0.6090393125, 0
0.6103238125, 1
0.6105898125, 0
0.6108691875, 1
0.6111351875, 0
0.6114056875, 1
0.6116716875, 0
0.612965125, 1
0.613231125, 0
0.614515625, 1
0.614781625, 0
0.6150610625, 1
0.6153270625, 0
