Time[s], SCIO
1.3528585625, 1
1.3531225625, 0
1.355789125, 1
1.356055125, 0
1.3563255625, 1
1.3565915625, 0
1.35788475, 1
1.35815075, 0
1.3584211875, 1
1.358687125, 0
1.3599803125, 1
1.3602463125, 0
1.3615305625, 1
1.3617965625, 0
1.362075875, 1
1.362341875, 0
1.3626123125, 1
1.3628783125, 0
1.3641715, 1
1.3644374375, 0
1.3657216875, 1
1.3659876875, 0
1.3662670625, 1
1.3665330625, 0
1.3668035, 1
1.3670695, 0
1.368362625, 1
1.368628625, 0
1.369912875, 1
1.370178875, 0
1.3704581875, 1
1.3707241875, 0
1.3720084375, 1
1.3722744375, 0
1.372565625, 1
1.372831625, 0
1.3731020625, 1
1.3733680625, 0
1.3746611875, 1
1.3749271875, 0
1.375197625, 1
1.375463625, 0
1.37675675, 1
1.37702275, 0
1.3772931875, 1
1.3775591875, 0
1.3788523125, 1
1.3791183125, 0
1.3804025625, 1
1.3806685625, 0
1.380947875, 1
1.381213875, 0
1.382498125, 1
1.382764125, 0
1.3830434375, 1
1.3833094375, 0
1.3845936875, 1
1.3848596875, 0
1.385139, 1
1.385405, 0
1.38668925, 1
1.38695525, 0
1.3872345625, 1
1.3875005625, 0
1.387771, 1
1.388037, 0
1.389342, 1
1.389608, 0
1.3898784375, 1
1.3901444375, 0
1.3914375625, 1
1.3917035625, 0
1.391974, 1
1.39224, 0
1.393533125, 1
1.393799125, 0
1.3950833125, 1
1.3953493125, 0
1.3956286875, 1
1.395894625, 0
1.397178875, 1
1.397444875, 0
1.3977241875, 1
1.3979901875, 0
1.3992744375, 1
1.3995404375, 0
1.39981975, 1
1.40008575, 0
1.40137, 1
1.401636, 0
1.4019153125, 1
1.4021813125, 0
1.40245175, 1
1.4027176875, 0
1.4040108125, 1
1.4042768125, 0
1.40454725, 1
1.40481325, 0
1.40611825, 1
1.40638425, 0
1.4076685, 1
1.4079344375, 0
1.4082138125, 1
1.4084798125, 0
1.4087501875, 1
1.4090161875, 0
1.4103093125, 1
1.4105753125, 0
1.4108456875, 1
1.4111116875, 0
1.4124048125, 1
1.4126708125, 0
1.413955, 1
1.414221, 0
1.4145003125, 1
1.4147663125, 0
1.41503675, 1
1.41530275, 0
1.4165958125, 1
1.4168618125, 0
1.41713225, 1
1.41739825, 0
1.418691375, 1
1.418957375, 0
1.41922775, 1
1.41949375, 0
1.420786875, 1
1.421052875, 0
1.4213233125, 1
1.42158925, 0
1.4228754375, 1
1.4231384375, 0
1.433358125, 1
1.4336221875, 0
1.436288625, 1
1.436554625, 0
1.4368250625, 1
1.4370910625, 0
1.4383841875, 1
1.4386501875, 0
1.438920625, 1
1.439186625, 0
1.44047975, 1
1.44074575, 0
1.44203, 1
1.4422959375, 0
1.4425753125, 1
1.4428413125, 0
1.4431116875, 1
1.4433776875, 0
1.4446708125, 1
1.4449368125, 0
1.4462210625, 1
1.4464870625, 0
1.4467664375, 1
1.4470324375, 0
1.447302875, 1
1.447568875, 0
1.448862, 1
1.449128, 0
1.45041225, 1
1.45067825, 0
1.450957625, 1
1.451223625, 0
1.452507875, 1
1.452773875, 0
1.4530650625, 1
1.453331125, 0
1.4536015, 1
1.4538675, 0
1.4551606875, 1
1.4554266875, 0
1.455697125, 1
1.455963125, 0
1.45725625, 1
1.45752225, 0
1.4577926875, 1
1.4580586875, 0
1.459351875, 1
1.459617875, 0
1.460902125, 1
1.461168125, 0
1.4614474375, 1
1.4617134375, 0
1.4629976875, 1
1.4632636875, 0
1.463543, 1
1.463809, 0
1.46509325, 1
1.4653593125, 0
1.465638625, 1
1.465904625, 0
1.467188875, 1
1.467454875, 0
1.46773425, 1
1.46800025, 0
1.4682706875, 1
1.4685366875, 0
1.4698416875, 1
1.4701076875, 0
1.470378125, 1
1.470644125, 0
1.4719373125, 1
1.4722033125, 0
1.47247375, 1
1.47273975, 0
1.474032875, 1
1.474298875, 0
1.475583125, 1
1.475849125, 0
1.4761285, 1
1.4763945, 0
1.47767875, 1
1.47794475, 0
1.4782240625, 1
1.478490125, 0
1.4797743125, 1
1.480040375, 0
1.4803196875, 1
1.4805856875, 0
1.4818699375, 1
1.4821359375, 0
1.4824153125, 1
1.4826813125, 0
1.48295175, 1
1.48321775, 0
1.484510875, 1
1.484776875, 0
1.4850473125, 1
1.4853133125, 0
1.486618375, 1
1.486884375, 0
1.4881685625, 1
1.488434625, 0
1.4887139375, 1
1.4889799375, 0
1.489250375, 1
1.489516375, 0
1.4908095625, 1
1.4910755625, 0
1.491346, 1
1.491612, 0
1.492905125, 1
1.493171125, 0
1.494455375, 1
1.494721375, 0
1.4950006875, 1
1.49526675, 0
1.4955371875, 1
1.4958031875, 0
1.4970963125, 1
1.4973623125, 0
1.49763275, 1
1.49789875, 0
1.499191875, 1
1.499457875, 0
1.4997283125, 1
1.4999943125, 0
1.5012874375, 1
1.5015535, 0
1.501823875, 1
1.5020899375, 0
1.503376125, 1
1.503639125, 0
1.513858875, 1
1.514122875, 0
1.516789375, 1
1.517055375, 0
1.5173258125, 1
1.5175918125, 0
1.5188849375, 1
1.519151, 0
1.5194214375, 1
1.5196874375, 0
1.5209805625, 1
1.5212465625, 0
1.5225308125, 1
1.5227968125, 0
1.5230761875, 1
1.5233421875, 0
1.523612625, 1
1.523878625, 0
1.52517175, 1
1.52543775, 0
1.526722, 1
1.526988, 0
1.527267375, 1
1.527533375, 0
1.5278038125, 1
1.5280698125, 0
1.5293629375, 1
1.5296289375, 0
1.5309131875, 1
1.5311791875, 0
1.5314585625, 1
1.5317245625, 0
1.5330088125, 1
1.5332748125, 0
1.533566, 1
1.5338320625, 0
1.5341025, 1
1.5343685, 0
1.535661625, 1
1.535927625, 0
1.5361980625, 1
1.5364640625, 0
1.53775725, 1
1.53802325, 0
1.5382936875, 1
1.5385596875, 0
1.539852875, 1
1.540118875, 0
1.541403125, 1
1.541669125, 0
1.5419484375, 1
1.5422145, 0
1.54349875, 1
1.54376475, 0
1.544044125, 1
1.544310125, 0
1.545594375, 1
1.545860375, 0
1.5461396875, 1
1.54640575, 0
1.54769, 1
1.547956, 0
1.5482353125, 1
1.548501375, 0
1.5487718125, 1
1.5490378125, 0
1.5503428125, 1
1.5506088125, 0
1.55087925, 1
1.55114525, 0
1.5524384375, 1
1.5527044375, 0
1.552974875, 1
1.553240875, 0
1.554534, 1
1.5548, 0
1.55608425, 1
1.55635025, 0
1.556629625, 1
1.556895625, 0
1.5581798125, 1
1.558445875, 0
1.5587251875, 1
1.5589911875, 0
1.560275375, 1
1.560541375, 0
1.56082075, 1
1.56108675, 0
1.5623709375, 1
1.562637, 0
