Time[s], SCIO
0.928435375, 1
0.9286996875, 0
0.9313656875, 1
0.931631625, 0
0.9319020625, 1
0.9321680625, 0
0.9334615625, 1
0.9337275625, 0
0.9339980625, 1
0.9342640625, 0
0.9355575, 1
0.9358235625, 0
0.9371080625, 1
0.9373740625, 0
0.9376535, 1
0.9379195, 0
0.93819, 1
0.938456, 0
0.9397494375, 1
0.9400154375, 0
0.9412999375, 1
0.9415659375, 0
0.941845375, 1
0.942111375, 0
0.942381875, 1
0.942647875, 0
0.9439413125, 1
0.9442073125, 0
0.9454918125, 1
0.945757875, 0
0.94603725, 1
0.94630325, 0
0.94758775, 1
0.94785375, 0
0.948145, 1
0.948411, 0
0.9486815, 1
0.9489475, 0
0.950240875, 1
0.950506875, 0
0.950777375, 1
0.951043375, 0
0.9523368125, 1
0.9526028125, 0
0.95287325, 1
0.95313925, 0
0.9544326875, 1
0.9546986875, 0
0.9559831875, 1
0.9562491875, 0
0.956528625, 1
0.956794625, 0
0.958079125, 1
0.958345125, 0
0.9586245, 1
0.9588905, 0
0.960175, 1
0.960441, 0
0.960720375, 1
0.960986375, 0
0.962270875, 1
0.962536875, 0
0.96281625, 1
0.96308225, 0
0.9633526875, 1
0.96361875, 0
0.964924, 1
0.96519, 0
0.9654605, 1
0.9657265, 0
0.967019875, 1
0.967285875, 0
0.967556375, 1
0.967822375, 0
0.96911575, 1
0.96938175, 0
0.97066625, 1
0.97093225, 0
0.971211625, 1
0.971477625, 0
0.972762125, 1
0.973028125, 0
0.9733075, 1
0.9735735, 0
0.9748580625, 1
0.9751240625, 0
0.9754034375, 1
0.9756694375, 0
0.9769539375, 1
0.9772199375, 0
0.9774993125, 1
0.9777653125, 0
0.9780358125, 1
0.9783018125, 0
0.97959525, 1
0.97986125, 0
0.9801316875, 1
0.98039775, 0
0.981703, 1
0.981969, 0
0.9832535625, 1
0.9835195625, 0
0.9837989375, 1
0.9840649375, 0
0.9843354375, 1
0.9846014375, 0
0.9858948125, 1
0.986160875, 0
0.9864313125, 1
0.9866973125, 0
0.9879906875, 1
0.9882566875, 0
0.9885271875, 1
0.9887931875, 0
0.9900865625, 1
0.9903525625, 0
0.9906230625, 1
0.9908890625, 0
0.9921824375, 1
0.9924484375, 0
0.9927189375, 1
0.9929849375, 0
0.9942783125, 1
0.9945443125, 0
0.99481475, 1
0.99508075, 0
0.9963741875, 1
0.9966401875, 0
0.997924625, 1
0.998190625, 0
0.998463125, 1
0.998726125, 0
1.008948125, 1
1.0092121875, 0
1.01187925, 1
1.01214525, 0
1.01241575, 1
1.01268175, 0
1.0139751875, 1
1.0142411875, 0
1.0145116875, 1
1.0147776875, 0
1.016071125, 1
1.016337125, 0
1.017621625, 1
1.017887625, 0
1.0181670625, 1
1.0184330625, 0
1.0187035, 1
1.0189695625, 0
1.020263, 1
1.020529, 0
1.0218135, 1
1.0220795, 0
